EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(50, input_dim=self.state_size, activation='relu'))
        model.add(Dense(50, activation='relu'))
        model.add(Dense(self.action_size, activation='linear'))
        model.compile(loss='mse',
                      optimizer=Adam(lr=self.learning_rate))
        return model



/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:08:35.793404: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 80/2500, score: 105, e: 0.9, reward: -182.85465496123413
episode: 81/2500, score: 79, e: 0.9, reward: -140.52580026057993
episode: 82/2500, score: 104, e: 0.9, reward: -200.76591659218127
episode: 83/2500, score: 98, e: 0.9, reward: -124.86031903680419
episode: 84/2500, score: 75, e: 0.9, reward: -201.5327777945394
episode: 85/2500, score: 80, e: 0.9, reward: -197.08462534574335
episode: 86/2500, score: 116, e: 0.9, reward: -313.8951678074227
episode: 87/2500, score: 79, e: 0.9, reward: -171.21004993788918
episode: 88/2500, score: 85, e: 0.9, reward: -90.89891995806315
episode: 89/2500, score: 85, e: 0.9, reward: -389.68465476259973
episode: 90/2500, score: 134, e: 0.9, reward: -387.5642515711224
episode: 91/2500, score: 108, e: 0.9, reward: -173.29514399699397
episode: 92/2500, score: 82, e: 0.89, reward: -106.26172167498996
episode: 93/2500, score: 100, e: 0.89, reward: -203.40405110081832
episode: 94/2500, score: 111, e: 0.89, reward: -399.00922040973325
episode: 95/2500, score: 85, e: 0.89, reward: -125.75255944088195
episode: 96/2500, score: 144, e: 0.89, reward: -88.38247129785029
episode: 97/2500, score: 79, e: 0.89, reward: -82.8750090131247
episode: 98/2500, score: 64, e: 0.89, reward: -233.11334236123747
episode: 99/2500, score: 78, e: 0.89, reward: -253.87037784360024
episode: 100/2500, score: 104, e: 0.89, reward: -185.96769836983805
episode: 101/2500, score: 82, e: 0.89, reward: -118.85719304341816
episode: 102/2500, score: 131, e: 0.89, reward: -240.6887162432133
episode: 103/2500, score: 78, e: 0.89, reward: -145.0710865543507
episode: 104/2500, score: 73, e: 0.89, reward: -109.21007989677729
episode: 105/2500, score: 154, e: 0.89, reward: -231.14063846011425
episode: 106/2500, score: 165, e: 0.89, reward: -406.0830337526514
episode: 107/2500, score: 84, e: 0.89, reward: -148.75719053669576
episode: 108/2500, score: 130, e: 0.89, reward: -72.74822954183568
episode: 109/2500, score: 70, e: 0.88, reward: -132.23631949587863
episode: 110/2500, score: 95, e: 0.88, reward: -91.73311758999492
episode: 111/2500, score: 72, e: 0.88, reward: -250.35120804553912
episode: 112/2500, score: 152, e: 0.88, reward: -308.73245209827144
episode: 113/2500, score: 101, e: 0.88, reward: -186.1645471391821
episode: 114/2500, score: 104, e: 0.88, reward: -130.62889157950985
episode: 115/2500, score: 85, e: 0.88, reward: -128.84315654937683
episode: 116/2500, score: 146, e: 0.88, reward: -129.07883188376394
episode: 117/2500, score: 1000, e: 0.88, reward: 23.49259121789613
episode: 118/2500, score: 120, e: 0.88, reward: -378.9140909076559
episode: 119/2500, score: 103, e: 0.88, reward: -227.62132750293273
episode: 120/2500, score: 75, e: 0.88, reward: -319.9596191852803
episode: 121/2500, score: 86, e: 0.88, reward: -167.52716713857174
episode: 122/2500, score: 69, e: 0.88, reward: -129.78128443498835
episode: 123/2500, score: 120, e: 0.88, reward: -165.46210823463446
episode: 124/2500, score: 93, e: 0.88, reward: -253.7141011487633
episode: 125/2500, score: 126, e: 0.87, reward: -237.3259064196893
episode: 126/2500, score: 82, e: 0.87, reward: -245.289769765436
episode: 127/2500, score: 78, e: 0.87, reward: -139.63639901978462
episode: 128/2500, score: 213, e: 0.87, reward: -56.82401692044593
episode: 129/2500, score: 132, e: 0.87, reward: -114.54317063376003
episode: 130/2500, score: 77, e: 0.87, reward: -167.91293659653428
episode: 131/2500, score: 107, e: 0.87, reward: -72.55143940512585
episode: 132/2500, score: 102, e: 0.87, reward: -177.6186947658657
episode: 133/2500, score: 66, e: 0.87, reward: -141.66150895898986
episode: 134/2500, score: 76, e: 0.87, reward: -83.73054955457971
episode: 135/2500, score: 65, e: 0.87, reward: -206.19291764352343
episode: 136/2500, score: 185, e: 0.87, reward: -270.58676911499776
episode: 137/2500, score: 99, e: 0.87, reward: -46.39999311877516
episode: 138/2500, score: 166, e: 0.87, reward: -84.6116164409547
