EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 40

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(50, input_dim=self.state_size, activation='relu'))
        model.add(Dense(50, activation='relu'))

/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew2.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:29:36.953438: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 82/2500, score: 63, e: 0.9, reward: -254.76114466584045
episode: 83/2500, score: 89, e: 0.9, reward: -406.9666967373731
episode: 84/2500, score: 128, e: 0.9, reward: -140.10498928351913
episode: 85/2500, score: 107, e: 0.9, reward: -202.9207207723254
episode: 86/2500, score: 70, e: 0.9, reward: -149.54949321757948
episode: 87/2500, score: 118, e: 0.9, reward: -178.88528137143354
episode: 88/2500, score: 73, e: 0.9, reward: -74.26948251062329
episode: 89/2500, score: 115, e: 0.9, reward: -57.68514274104473
episode: 90/2500, score: 76, e: 0.9, reward: -260.6463060456662
episode: 91/2500, score: 98, e: 0.9, reward: -257.0753201213879
episode: 92/2500, score: 104, e: 0.89, reward: -237.5023223310964
episode: 93/2500, score: 141, e: 0.89, reward: -266.2609531469991
episode: 94/2500, score: 108, e: 0.89, reward: -351.2085755332273
episode: 95/2500, score: 107, e: 0.89, reward: -188.97013031908733
episode: 96/2500, score: 83, e: 0.89, reward: -157.35616108471015
episode: 97/2500, score: 163, e: 0.89, reward: -31.55712548647729
episode: 98/2500, score: 84, e: 0.89, reward: -191.7614950760909
episode: 99/2500, score: 102, e: 0.89, reward: -124.2661214369218
episode: 100/2500, score: 125, e: 0.89, reward: -255.01242629515087
episode: 101/2500, score: 153, e: 0.89, reward: -112.01189935887513
episode: 102/2500, score: 73, e: 0.89, reward: -126.31402583491418
episode: 103/2500, score: 104, e: 0.89, reward: -290.1072026428672
episode: 104/2500, score: 76, e: 0.89, reward: -289.21565861911665
episode: 105/2500, score: 88, e: 0.89, reward: -254.57161665737132
episode: 106/2500, score: 93, e: 0.89, reward: -435.1920591908911
episode: 107/2500, score: 84, e: 0.89, reward: -186.66282150452395
episode: 108/2500, score: 75, e: 0.89, reward: -160.702543365232
episode: 109/2500, score: 105, e: 0.88, reward: -203.8525719804501
episode: 110/2500, score: 92, e: 0.88, reward: -211.38320007140254
episode: 111/2500, score: 154, e: 0.88, reward: -129.67096190654428
episode: 112/2500, score: 120, e: 0.88, reward: -106.2996413002152
episode: 113/2500, score: 124, e: 0.88, reward: -184.4709693018858
episode: 114/2500, score: 90, e: 0.88, reward: -191.67679703150606
episode: 115/2500, score: 85, e: 0.88, reward: -150.97208314052807
episode: 116/2500, score: 81, e: 0.88, reward: -133.65653842658435
episode: 117/2500, score: 117, e: 0.88, reward: -160.30291065349738
episode: 118/2500, score: 120, e: 0.88, reward: -356.4766884371052
episode: 119/2500, score: 72, e: 0.88, reward: -190.05540340207395
episode: 120/2500, score: 74, e: 0.88, reward: -152.00004990686426
episode: 121/2500, score: 95, e: 0.88, reward: -111.4810799768965
episode: 122/2500, score: 96, e: 0.88, reward: -173.3816842507888
episode: 123/2500, score: 83, e: 0.88, reward: -212.33304481476802
episode: 124/2500, score: 147, e: 0.88, reward: -274.5396484659355
episode: 125/2500, score: 80, e: 0.87, reward: -87.09744544740173
episode: 126/2500, score: 128, e: 0.87, reward: -325.6742488308535
episode: 127/2500, score: 86, e: 0.87, reward: -145.69431153079202
episode: 128/2500, score: 107, e: 0.87, reward: -187.3944777084801
episode: 129/2500, score: 109, e: 0.87, reward: -228.9805905670596
episode: 130/2500, score: 93, e: 0.87, reward: -157.7968802453901
episode: 131/2500, score: 81, e: 0.87, reward: -284.0590220784487
episode: 132/2500, score: 112, e: 0.87, reward: -155.3001174134231
episode: 133/2500, score: 110, e: 0.87, reward: -127.60240176933496
episode: 134/2500, score: 122, e: 0.87, reward: -183.7177773034743
episode: 135/2500, score: 128, e: 0.87, reward: -117.41213783198091
episode: 136/2500, score: 77, e: 0.87, reward: -169.54598602527625
episode: 137/2500, score: 67, e: 0.87, reward: -141.8380857539894
episode: 138/2500, score: 100, e: 0.87, reward: -171.098468943836
episode: 139/2500, score: 108, e: 0.87, reward: -451.7473846093427
episode: 140/2500, score: 145, e: 0.87, reward: -89.94007575357134
episode: 141/2500, score: 97, e: 0.87, reward: -211.9546384007984
episode: 142/2500, score: 97, e: 0.86, reward: -118.66735068732856
