EPISODES = 2500


class DQNAgent:
    def __init__(self, state_size, action_size):
        self.state_size = state_size
        self.action_size = action_size
        self.memory = deque(maxlen=10000)
        self.gamma = 0.99    # discount rate
        self.epsilon = 0.95  # exploration rate
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.998
        self.learning_rate = 0.0001
        self.epsilon_linear_decay = 0.0006
        self.model = self._build_model()
        self.minibatch_size = 20

    def _build_model(self):
        # Neural Net for Deep-Q learning Model
        model = Sequential()
        model.add(Dense(25, input_dim=self.state_size, activation='relu'))
        model.add(Dense(25, activation='relu'))


/usr/bin/python3.5 /home/nabin/PycharmProjects/untitled/KerasNew3.py
Using TensorFlow backend.
WARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.
2018-07-02 09:33:43.199452: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
episode: 82/2500, score: 109, e: 0.9, reward: -231.50929564979393
episode: 83/2500, score: 85, e: 0.9, reward: -89.22455805681636
episode: 84/2500, score: 84, e: 0.9, reward: -170.67551718429254
episode: 85/2500, score: 183, e: 0.9, reward: -394.6947992133546
episode: 86/2500, score: 65, e: 0.9, reward: -142.99025702243318
episode: 87/2500, score: 115, e: 0.9, reward: -126.40551485967309
episode: 88/2500, score: 82, e: 0.9, reward: -367.80129159915657
episode: 89/2500, score: 91, e: 0.9, reward: -160.47805382333524
episode: 90/2500, score: 136, e: 0.9, reward: -165.52597818895208
episode: 91/2500, score: 157, e: 0.9, reward: -116.21074472188452
episode: 92/2500, score: 71, e: 0.89, reward: -74.30817040418353
episode: 93/2500, score: 71, e: 0.89, reward: -140.17939068086415
episode: 94/2500, score: 119, e: 0.89, reward: -192.01422820452592
episode: 95/2500, score: 87, e: 0.89, reward: -358.51290317250425
episode: 96/2500, score: 70, e: 0.89, reward: -150.88019881966164
episode: 97/2500, score: 87, e: 0.89, reward: -172.7862244920289
episode: 98/2500, score: 106, e: 0.89, reward: -223.40149068066185
episode: 99/2500, score: 80, e: 0.89, reward: -78.01059073241495
episode: 100/2500, score: 116, e: 0.89, reward: -89.68649409080078
episode: 101/2500, score: 83, e: 0.89, reward: -372.11283586537184
episode: 102/2500, score: 142, e: 0.89, reward: -143.4830815345222
episode: 103/2500, score: 78, e: 0.89, reward: -144.98052545773834
episode: 104/2500, score: 111, e: 0.89, reward: -427.90349073642255
episode: 105/2500, score: 83, e: 0.89, reward: -108.3680594423537
episode: 106/2500, score: 85, e: 0.89, reward: -554.7612375957046
episode: 107/2500, score: 131, e: 0.89, reward: -150.89162055579024
episode: 108/2500, score: 131, e: 0.89, reward: -53.60042910696724
episode: 109/2500, score: 74, e: 0.88, reward: -88.8907571171455
episode: 110/2500, score: 114, e: 0.88, reward: -228.54674027430286
episode: 111/2500, score: 107, e: 0.88, reward: -242.71800417096324
episode: 112/2500, score: 117, e: 0.88, reward: -221.84021895047846
episode: 113/2500, score: 128, e: 0.88, reward: -109.7100923619216
episode: 114/2500, score: 91, e: 0.88, reward: -229.75875884891352
episode: 115/2500, score: 91, e: 0.88, reward: -170.37770654368143
episode: 116/2500, score: 95, e: 0.88, reward: -199.11520699284773
episode: 117/2500, score: 100, e: 0.88, reward: -249.48884528715294
episode: 118/2500, score: 151, e: 0.88, reward: -309.72076609640203
episode: 119/2500, score: 80, e: 0.88, reward: -192.66960419051708
episode: 120/2500, score: 88, e: 0.88, reward: -259.76187207478813
episode: 121/2500, score: 98, e: 0.88, reward: -359.207134600192
episode: 122/2500, score: 71, e: 0.88, reward: -180.92374400712663
episode: 123/2500, score: 119, e: 0.88, reward: -386.0675210755471
episode: 124/2500, score: 104, e: 0.88, reward: -334.59896243872106
episode: 125/2500, score: 80, e: 0.87, reward: -99.50100820129668
episode: 126/2500, score: 101, e: 0.87, reward: -387.9259096159274
episode: 127/2500, score: 129, e: 0.87, reward: -310.52139824966196
episode: 128/2500, score: 72, e: 0.87, reward: -247.18188644768034
episode: 129/2500, score: 134, e: 0.87, reward: -256.6174818922553
episode: 130/2500, score: 103, e: 0.87, reward: -278.53860928059464
episode: 131/2500, score: 83, e: 0.87, reward: -364.63112703341164
